AÑO,SEMESTRE,TRIMESTRE,DPTO,MUNICIPIO,ESPECIE,TIPO PRODUCTO,FUENTE,VOLUMEN M3
"2,012",I,I,Antioquia,Abejorral,Eucalyptus saligna,Bloque,ICA,72
"2,012",I,I,Antioquia,Anza,Pinus patula,Bloque,ICA,274
"2,012",I,I,Antioquia,Cáceres,Acacia mangium,Bloque,ICA,175
"2,012",I,I,Antioquia,Caldas,Cupressus lusitanica Mill.,Bloque,ICA,60
"2,012",I,I,Antioquia,Caucasia,Acacia mangium,Bloque,ICA,220
"2,012",I,I,Antioquia,Ciudad Bolívar,Cedrela odorata L.,Bloque,ICA,10
"2,012",I,I,Antioquia,Entrerrios,Pinus patula,Bloque,ICA,"1,173"
"2,012",I,I,Antioquia,Envigado,Eucalyptus spp,Bloque,ICA,26
"2,012",I,I,Antioquia,Envigado,Pinus patula,Bloque,ICA,76
"2,012",I,I,Antioquia,Fredonia,Cupressus lusitanica Mill.,Bloque,ICA,96
"2,012",I,I,Antioquia,Gomez Plata,Pinus patula,Otros,ICA,108
"2,012",I,I,Antioquia,Guarne,Cupressus lusitanica Mill.,Bloque,ICA,3
"2,012",I,I,Antioquia,Guarne,Pinus patula,Bloque,ICA,549
"2,012",I,I,Antioquia,La Ceja,Pinus patula,Bloque,ICA,51
"2,012",I,I,Antioquia,Medellin,Cupressus lusitanica Mill.,Otros,ICA,22
"2,012",I,I,Antioquia,Montebello,Pinus patula,Bloque,ICA,858
"2,012",I,I,Antioquia,Puerto Berrio,Cedrela odorata L.,Bloque,ICA,224
"2,012",I,I,Antioquia,Retiro,Cupressus lusitanica Mill.,Bloque,ICA,114
"2,012",I,I,Antioquia,Retiro,Pinus patula,Bloque,ICA,360
"2,012",I,I,Antioquia,Salgar,Cordia alliodora (R. & P.) Cham,Otros,ICA,33
"2,012",I,I,Antioquia,Santa Rosa De Osos,Pinus patula,Bloque,ICA,340
"2,012",I,I,Antioquia,Urrao,Cupressus lusitanica Mill.,Bloque,ICA,174
"2,012",I,I,Antioquia,Urrao,Cupressus lusitanica Mill.,Otros,ICA,18
"2,012",I,I,Antioquia,Urrao,Pinus patula,Bloque,ICA,90
"2,012",I,I,Antioquia,Vegachi,Acacia mangium,Bloque,ICA,12
"2,012",I,I,Antioquia,Vegachi,Cedrela odorata L.,Bloque,ICA,53
"2,012",I,I,Antioquia,Vegachi,Jacaranda copaia,Bloque,ICA,26
"2,012",I,I,Antioquia,Yolombo,Pinus  tecunumanii,Bloque,ICA,18
"2,012",I,I,Arauca,Arauquita,Cedrela odorata L.,Bloque,ICA,29
"2,012",I,I,Arauca,Arauquita,Cordia alliodora (R. & P.) Cham,Bloque,ICA,10
"2,012",I,I,Arauca,Arauquita,Gmelina arborea,Bloque,ICA,6
"2,012",I,I,Arauca,Arauquita,Gmelina arborea,Tabla,ICA,20
"2,012",I,I,Arauca,Arauquita,Tabebuia rosea (bertold) D.C,Bloque,ICA,37
"2,012",I,I,Atlántico,Baranoa,Gmelina arborea,Postes,ICA,14
"2,012",I,I,Atlántico,Sabanalarga,Gmelina arborea,Bloque,ICA,20
"2,012",I,I,Bolívar,Córdoba,Gmelina arborea,Otros,ICA,"6,202"
"2,012",I,I,Bolívar,Zambrano,Gmelina arborea,Otros,ICA,812
"2,012",I,I,Bolívar,Zambrano,Pachira quinata (Jacq.) W.S. Alverson,Otros,ICA,"2,300"
"2,012",I,I,Cundinamarca,Albán,Eucalyptus globulus,Otros,ICA,93
"2,012",I,I,Cundinamarca,Cota,Eucalyptus globulus,Bloque,ICA,104
"2,012",I,I,Cundinamarca,Facatativá,Acacia sp.,Tolete,ICA,75
"2,012",I,I,Cundinamarca,Facatativá,Eucalyptus globulus,Tolete,ICA,319
"2,012",I,I,Cundinamarca,La Calera,Pinus patula,Bloque,ICA,60
"2,012",I,I,Cundinamarca,Madrid,Pinus patula,Otros,ICA,180
"2,012",I,I,Cundinamarca,Madrid,Pinus radiata,Otros,ICA,200
"2,012",I,I,Cundinamarca,San Cayetano,Cupressus lusitanica Mill.,Bloque,ICA,3
"2,012",I,I,Cundinamarca,San Cayetano,Eucalyptus globulus,Limatón,ICA,6
"2,012",I,I,Cundinamarca,San Cayetano,Fraxinus spp.,Bloque,ICA,2
"2,012",I,I,Cundinamarca,San Cayetano,Pinus sp.,Otros,ICA,10
"2,012",I,I,Cundinamarca,Subachoque,Eucalyptus globulus,Tolete,ICA,176
"2,012",I,I,Cundinamarca,Subachoque,Pinus patula,Limatón,ICA,24
"2,012",I,I,Cundinamarca,Subachoque,Pinus patula,Tolete,ICA,25
"2,012",I,I,Cundinamarca,Villapinzon,Acacia melanoxylon,Otros,ICA,20
"2,012",I,I,Cundinamarca,Villapinzon,Pinus patula,Otros,ICA,18
"2,012",I,I,Huila,Agrado,Anacardium excelsum,Bloque,ICA,5
